display_name,name,description,parrent,children
3GPP,3GPP,3GPP ROOT,,3GPP -> TSG CT
,,,,3GPP -> TSG RAN
,,,,3GPP -> TSG SA
3GPP -> TSG CT,TSG CT,Core Network & Terminals,3GPP,3GPP -> TSG CT -> CT WG1
,,,,3GPP -> TSG CT -> CT WG3
,,,,3GPP -> TSG CT -> CT WG4
,,,,3GPP -> TSG CT -> CT WG6
3GPP -> TSG CT -> CT WG1,CT WG1,User Equipment to Core Network protocols,3GPP -> TSG CT,
3GPP -> TSG CT -> CT WG3,CT WG3,Interworking with External Networks & Policy and Charging Control,3GPP -> TSG CT,
3GPP -> TSG CT -> CT WG4,CT WG4,Core Network Protocols,3GPP -> TSG CT,
3GPP -> TSG CT -> CT WG6,CT WG6,Smart Card Application Aspects,3GPP -> TSG CT,
3GPP -> TSG RAN,TSG RAN,Radio Access Network,3GPP,3GPP -> TSG RAN -> RAN AH1
,,,,3GPP -> TSG RAN -> RAN WG1
,,,,3GPP -> TSG RAN -> RAN WG2
,,,,3GPP -> TSG RAN -> RAN WG3
,,,,3GPP -> TSG RAN -> RAN WG4
,,,,3GPP -> TSG RAN -> RAN WG5
3GPP -> TSG RAN -> RAN AH1,RAN AH1,ITU-R Ad Hoc,3GPP -> TSG RAN,
3GPP -> TSG RAN -> RAN WG1,RAN WG1,Radio Layer 1 (Physical layer),3GPP -> TSG RAN,
3GPP -> TSG RAN -> RAN WG2,RAN WG2,Radio layer 2 and Radio layer 3 Radio Resource Control,3GPP -> TSG RAN,
3GPP -> TSG RAN -> RAN WG3,RAN WG3,UTRAN/E-UTRAN/NG-RAN architecture and related network interfaces,3GPP -> TSG RAN,
3GPP -> TSG RAN -> RAN WG4,RAN WG4,Radio Performance and Protocol Aspects,3GPP -> TSG RAN,
3GPP -> TSG RAN -> RAN WG5,RAN WG5,Mobile terminal conformance testing,3GPP -> TSG RAN,
3GPP -> TSG SA,TSG SA,Service & System Aspects,3GPP,3GPP -> TSG SA -> SA WG1
,,,,3GPP -> TSG SA -> SA WG2
,,,,3GPP -> TSG SA -> SA WG3
,,,,3GPP -> TSG SA -> SA WG4
,,,,3GPP -> TSG SA -> SA WG5
,,,,3GPP -> TSG SA -> SA WG6
3GPP -> TSG SA -> SA WG1,SA WG1,Services,3GPP -> TSG SA,
3GPP -> TSG SA -> SA WG2,SA WG2,System Architecture and Services,3GPP -> TSG SA,
3GPP -> TSG SA -> SA WG3,SA WG3,Security and Privacy,3GPP -> TSG SA,
3GPP -> TSG SA -> SA WG4,SA WG4,"Multimedia Codecs, Systems and Services",3GPP -> TSG SA,
3GPP -> TSG SA -> SA WG5,SA WG5,"Management, Orchestration and Charging",3GPP -> TSG SA,
3GPP -> TSG SA -> SA WG6,SA WG6,Application Enablement and Critical Communication Applications,3GPP -> TSG SA,
IEC,IEC,IEC ROOT,,IEC -> SC 3C
,,,,IEC -> TC 1
,,,,IEC -> TC 2
,,,,IEC -> TC 3
IEC -> SC 3C,SC 3C,Graphical symbols for use on equipment,IEC,
IEC -> TC 1,TC 1,Terminology,IEC,
IEC -> TC 2,TC 2,Rotating machinery,IEC,
IEC -> TC 3,TC 3,"Documentation, graphical symbols and representations of technical information",IEC,
ISO,ISO,ISO ROOT,,ISO -> 01
,,,,ISO -> 03
,,,,ISO -> 07
,,,,ISO -> 11
,,,,ISO -> 13
,,,,ISO -> 17
,,,,ISO -> 19
,,,,ISO -> 21
,,,,ISO -> 23
,,,,ISO -> 25
,,,,ISO -> 27
,,,,ISO -> 29
,,,,ISO -> 31
,,,,ISO -> 33
,,,,ISO -> 35
,,,,ISO -> 37
,,,,ISO -> 39
,,,,ISO -> 43
,,,,ISO -> 45
,,,,ISO -> 47
,,,,ISO -> 49
,,,,ISO -> 53
,,,,ISO -> 55
,,,,ISO -> 59
,,,,ISO -> 61
,,,,ISO -> 65
,,,,ISO -> 67
,,,,ISO -> 71
,,,,ISO -> 73
,,,,ISO -> 75
,,,,ISO -> 77
,,,,ISO -> 79
,,,,ISO -> 81
,,,,ISO -> 83
,,,,ISO -> 85
,,,,ISO -> 87
,,,,ISO -> 91
,,,,ISO -> 93
,,,,ISO -> 95
,,,,ISO -> 97
ISO -> 01,01,Generalities. Terminology. Standardization. Documentation,ISO,ISO -> 01 -> 01.020
,,,,ISO -> 01 -> 01.040
,,,,ISO -> 01 -> 01.060
,,,,ISO -> 01 -> 01.070
,,,,ISO -> 01 -> 01.075
,,,,ISO -> 01 -> 01.080
,,,,ISO -> 01 -> 01.100
,,,,ISO -> 01 -> 01.110
,,,,ISO -> 01 -> 01.120
,,,,ISO -> 01 -> 01.140
ISO -> 01 -> 01.020,01.020,Terminology (principles and coordination)Including terminography,ISO -> 01,
ISO -> 01 -> 01.040,01.040,Vocabularies,ISO -> 01,ISO -> 01 -> 01.040 -> 01.040.01
,,,,ISO -> 01 -> 01.040 -> 01.040.03
,,,,ISO -> 01 -> 01.040 -> 01.040.07
,,,,ISO -> 01 -> 01.040 -> 01.040.11
,,,,ISO -> 01 -> 01.040 -> 01.040.13
,,,,ISO -> 01 -> 01.040 -> 01.040.17
,,,,ISO -> 01 -> 01.040 -> 01.040.19
,,,,ISO -> 01 -> 01.040 -> 01.040.21
,,,,ISO -> 01 -> 01.040 -> 01.040.23
,,,,ISO -> 01 -> 01.040 -> 01.040.25
,,,,ISO -> 01 -> 01.040 -> 01.040.27
,,,,ISO -> 01 -> 01.040 -> 01.040.31
,,,,ISO -> 01 -> 01.040 -> 01.040.33
,,,,ISO -> 01 -> 01.040 -> 01.040.35
,,,,ISO -> 01 -> 01.040 -> 01.040.37
,,,,ISO -> 01 -> 01.040 -> 01.040.39
,,,,ISO -> 01 -> 01.040 -> 01.040.43
,,,,ISO -> 01 -> 01.040 -> 01.040.45
,,,,ISO -> 01 -> 01.040 -> 01.040.47
,,,,ISO -> 01 -> 01.040 -> 01.040.49
,,,,ISO -> 01 -> 01.040 -> 01.040.53
,,,,ISO -> 01 -> 01.040 -> 01.040.55
,,,,ISO -> 01 -> 01.040 -> 01.040.59
,,,,ISO -> 01 -> 01.040 -> 01.040.61
,,,,ISO -> 01 -> 01.040 -> 01.040.65
,,,,ISO -> 01 -> 01.040 -> 01.040.67
,,,,ISO -> 01 -> 01.040 -> 01.040.71
,,,,ISO -> 01 -> 01.040 -> 01.040.73
,,,,ISO -> 01 -> 01.040 -> 01.040.75
,,,,ISO -> 01 -> 01.040 -> 01.040.77
,,,,ISO -> 01 -> 01.040 -> 01.040.79
,,,,ISO -> 01 -> 01.040 -> 01.040.81
,,,,ISO -> 01 -> 01.040 -> 01.040.83
,,,,ISO -> 01 -> 01.040 -> 01.040.85
,,,,ISO -> 01 -> 01.040 -> 01.040.87
,,,,ISO -> 01 -> 01.040 -> 01.040.91
,,,,ISO -> 01 -> 01.040 -> 01.040.93
,,,,ISO -> 01 -> 01.040 -> 01.040.97
ISO -> 01 -> 01.040 -> 01.040.01,01.040.01,Generalities. Terminology. Standardization. Documentation (Vocabularies),ISO -> 01 -> 01.040,
